# lambba_val.val 0.3125
#time (ps)      gradients (kcal/mol*lam)
0.000            11.4453371003
200.000            14.9361566640
400.000            15.3100722210
600.000            9.4074994791
800.000            10.6441224659
1000.000            6.6762467366
1200.000            -1.4489008691
1400.000            -3.4552992432
1600.000            1.1440268492
1800.000            -2.1078634138
2000.000            -1.8096418340
2200.000            1.2874773503
2400.000            3.5165687385
2600.000            -1.0749984351
2800.000            0.9159418166
3000.000            3.4473389713
3200.000            6.2136493935
3400.000            7.7294042998
3600.000            -0.6185222041
3800.000            -4.8834297595
4000.000            -5.5044479480
4200.000            4.9477232109
4400.000            6.3571115708
4600.000            -1.4964541914
4800.000            2.7086828067
5000.000            -3.9530335857
5200.000            -4.0373021294
5400.000            -1.9535895834
5600.000            -3.3368936523
5800.000            -12.5611835992
6000.000            13.1926373365
6200.000            11.4720824677
6400.000            4.4074187446
6600.000            -0.9837002678
6800.000            4.0250382845
7000.000            8.8210278161
7200.000            -0.0918137998
7400.000            8.4452546273
7600.000            13.3922675843
7800.000            1.6865978208
8000.000            13.2530785057
8200.000            7.5030875695
8400.000            1.1931243613
8600.000            -6.1133021707
8800.000            -9.4827099063
9000.000            -9.2461596564
9200.000            -7.0465976520
9400.000            -5.4942478559
9600.000            6.7474797942
9800.000            -0.1913397467
10000.000            -5.8463052372
10200.000            -5.7135721555
10400.000            -3.8622560012
10600.000            0.6571897653
10800.000            8.6742395611
11000.000            9.6374648198
11200.000            0.1380204571
11400.000            -5.6908920225
11600.000            -2.9795454301
11800.000            -12.0467472635
12000.000            -9.2740056318
12200.000            0.8493845047
12400.000            0.0110721893
12600.000            -0.7894965334
12800.000            7.7067185511
13000.000            0.1439701660
13200.000            -7.7918267413
13400.000            -12.3133010600
13600.000            -11.4852551325
13800.000            -5.9227915335
14000.000            -1.3203972828
14200.000            5.5582790708
14400.000            1.5244410754
14600.000            3.0671308838
14800.000            3.2218958605
15000.000            1.9365933732
15200.000            -0.2900743540
15400.000            -2.3286238349
15600.000            -1.6621149797
15800.000            -0.3700720927
16000.000            -8.7394223583
16200.000            -6.7095201445
16400.000            2.2530561845
16600.000            6.6398068273
16800.000            -0.6521812221
17000.000            -5.1920520790
17200.000            -5.4994057698
17400.000            -10.3868768125
17600.000            -11.5691325512
17800.000            -3.1805444109
18000.000            -4.8931600593
18200.000            -5.3733079668
18400.000            -5.7138356017
18600.000            -4.1943226527
18800.000            -14.7424361356
19000.000            -12.9040231691
19200.000            -4.3520904332
19400.000            3.0541573128
19600.000            -1.1472030936
19800.000            5.5267824569
20000.000            5.6708173892
20200.000            -5.0082576175
20400.000            -7.6084883383
20600.000            -8.0233003182
20800.000            -6.3091705451
21000.000            -1.7345046008
21200.000            -3.2183471350
21400.000            -0.4059357916
21600.000            2.6738895457
21800.000            4.8288145840
22000.000            -3.7581539439
22200.000            2.7137324448
22400.000            1.8463585794
22600.000            -3.8644151794
22800.000            1.7728722108
23000.000            6.2836654372
23200.000            -3.3415314342
23400.000            10.5558070945
23600.000            9.5159769098
23800.000            1.2386507444
24000.000            6.3131573434
24200.000            3.4940914471
24400.000            3.5640151785
24600.000            23.9903310286
24800.000            26.8775163826
25000.000            25.1838715573
25200.000            15.6743079425
25400.000            -7.2153238827
25600.000            -4.1241609327
25800.000            4.6508136970
26000.000            -3.1460156398
26200.000            -2.8489257649
26400.000            -2.0784456089
26600.000            -0.4962143524
26800.000            1.3914902441
27000.000            -5.8455386008
27200.000            -4.5388041092
27400.000            3.7848249491
27600.000            2.3302910307
27800.000            0.0526378460
28000.000            -1.4158062507
28200.000            -3.5933745196
28400.000            2.9508043509
28600.000            -2.2344141799
28800.000            -5.4437898832
29000.000            -6.7463857092
29200.000            -4.7961365304
29400.000            0.0230486627
29600.000            -2.6809291910
29800.000            -6.3904422625
30000.000            -3.8028325149
30200.000            -10.0397559605
30400.000            -4.9718718194
30600.000            -2.6874065241
30800.000            0.3206237091
31000.000            3.7486441986
31200.000            6.3068372087
31400.000            7.2925578038
31600.000            8.1122728522
31800.000            6.5331121325
32000.000            2.2439051805
32200.000            1.3506616130
32400.000            -6.5692206734
32600.000            -6.2861564523
32800.000            -3.1217827659
33000.000            1.5070304768
33200.000            4.2603048851
33400.000            4.5242949588
33600.000            6.2273166203
33800.000            3.6669728348
34000.000            13.5652354847
34200.000            8.2105757075
34400.000            6.4896633190
34600.000            1.6142030466
34800.000            -11.3676756855
35000.000            1.9108722354
35200.000            -5.1526752838
35400.000            -9.3534248765
35600.000            -2.8618634594
35800.000            -3.7054955439
36000.000            -8.0486839204
36200.000            -5.8190105916
36400.000            1.0143483520
36600.000            3.3300315512
36800.000            3.2792254757
37000.000            10.1641271551
37200.000            -1.6229110203
37400.000            -5.8737824140
37600.000            14.9069456619
37800.000            16.1748602506
38000.000            11.9803064168
38200.000            -0.1935415302
38400.000            9.1940845905
38600.000            0.2817150032
38800.000            -4.7496802580
39000.000            -7.7556527925
39200.000            4.0674509788
39400.000            4.9104613680
39600.000            2.5573086692
39800.000            -9.9646705970
40000.000            -14.8289511590
40200.000            -11.1618629976
40400.000            -2.5618009229
40600.000            3.9930086289
40800.000            7.2185083520
41000.000            2.1172274294
41200.000            -2.5669687578
41400.000            -4.8606401409
41600.000            -2.5835331513
41800.000            4.4928346602
42000.000            0.6074649423
42200.000            0.1259901255
42400.000            -2.4685119004
42600.000            -1.8270478546
42800.000            0.5719375372
43000.000            2.6306079997
43200.000            5.4112527559
43400.000            7.7666402523
43600.000            3.5294659845
43800.000            4.1768080242
44000.000            7.1360232380
44200.000            -2.1952398350
44400.000            -2.4084858075
44600.000            -5.4030366164
44800.000            5.9632604212
45000.000            0.7116006227
45200.000            -0.6816897026
45400.000            3.8679967808
45600.000            3.7362779604
45800.000            4.6600204548
46000.000            7.1492232401
46200.000            10.4085338248
46400.000            4.5970499094
46600.000            0.0229438424
46800.000            4.0378704191
47000.000            7.9327550889
47200.000            -8.3345354787
47400.000            3.5840445481
47600.000            17.3467033837
47800.000            1.5770476057
48000.000            12.2097551359
48200.000            8.7068575261
48400.000            -0.2144164247
48600.000            -5.0720279243
48800.000            -6.9377295529
49000.000            -7.1479769320
49200.000            -5.4692191523
49400.000            -4.5309279899
49600.000            -5.2115562878
49800.000            -6.8353910954
50000.000            -6.6062739226
50200.000            -2.5224310896
50400.000            2.8159491535
50600.000            3.8362561059
50800.000            8.5631838850
51000.000            6.4966001737
51200.000            -0.0882279650
51400.000            -4.5958621185
51600.000            -2.3133437193
51800.000            -19.6479315615
52000.000            -17.6450945200
52200.000            -12.8577640100
52400.000            -5.6195529839
52600.000            4.4885645384
52800.000            -2.1383058338
53000.000            -4.8881675152
53200.000            -7.9951603927
53400.000            -9.2190886134
53600.000            -8.2974069778
53800.000            -6.1222119364
54000.000            1.5611369176
54200.000            3.7499922002
54400.000            -0.9668162888
54600.000            -6.0606746067
54800.000            -5.4860644974
55000.000            -2.3986462059
55200.000            2.0357394330
55400.000            5.6031842211
55600.000            7.6001288766
55800.000            6.1278529082
56000.000            8.7225627160
56200.000            4.6087787971
56400.000            -5.6003140240
56600.000            -10.0082034979
56800.000            -5.9387400491
57000.000            -8.8314983578
57200.000            -6.2491066425
57400.000            -13.5831801391
57600.000            -14.0797570938
57800.000            -2.8302206888
58000.000            -4.3602684547
58200.000            -5.2841085866
58400.000            -6.2385872969
58600.000            -5.1271837853
58800.000            -15.3037715367
59000.000            -12.6715715573
59200.000            -3.5654013457
59400.000            2.7484573981
59600.000            -2.5217505391
59800.000            3.8169525683
60000.000            5.4381852445
