
# Writing all output to stdout
# Analysing free energies contained in file(s) "['lambda-0.0000/gradients.s3', 'lambda-0.0625/gradients.s3', 'lambda-0.1250/gradients.s3', 'lambda-0.1875/gradients.s3', 'lambda-0.2500/gradients.s3', 'lambda-0.3125/gradients.s3', 'lambda-0.3750/gradients.s3', 'lambda-0.4375/gradients.s3', 'lambda-0.5000/gradients.s3', 'lambda-0.5625/gradients.s3', 'lambda-0.6250/gradients.s3', 'lambda-0.6875/gradients.s3', 'lambda-0.7500/gradients.s3', 'lambda-0.8125/gradients.s3', 'lambda-0.8750/gradients.s3', 'lambda-0.9375/gradients.s3', 'lambda-1.0000/gradients.s3']"
# Processing object TI( nLambdaValues() == 17, nIterations() == 1, nSamples() == 170000 )
# Averaging over iterations 0 to 0
# Convergence
# Iteration 
# TI 
# PMFs
# TI
# Lambda  PMF  Maximum  Minimum 
0.0  0.0  0.0  0.0
0.0  -0.3186189357962342  -0.31709889498523997  -0.3201389766072284
0.01  -0.6053104097110907  -0.6024092144992585  -0.6082116049229229
0.02  -0.863010983768876  -0.8588378217514573  -0.8671841457862947
0.03  -1.0944316571762283  -1.089073368534238  -1.0997899458182185
0.04  -1.3020642163726426  -1.2955911557841755  -1.3085372769611097
0.05  -1.4881896376692858  -1.4806602813559397  -1.4957189939826319
0.060000000000000005  -1.6548880593664332  -1.6463525633760026  -1.663423555356864
0.07  -1.8040499001121912  -1.794552790036392  -1.8135470101879905
0.08  -1.937387755404409  -1.926969904275758  -1.94780560653306
0.09  -2.056448754771234  -2.0451487847105976  -2.0677487248318704
0.09999999999999999  -2.1626271085158915  -2.1504823326531377  -2.174771884378645
0.10999999999999999  -2.257176615195075  -2.2442236193082628  -2.2701296110818876
0.11999999999999998  -2.341222939429807  -2.327497887498919  -2.354947991360695
0.12999999999999998  -2.4157755044296128  -2.4013142387412363  -2.430236770117989
0.13999999999999999  -2.481738874947046  -2.466576869385481  -2.496900880508611
0.15  -2.5399235344665687  -2.5240957490599434  -2.555751319873194
0.16  -2.5910559854609465  -2.5745966609996493  -2.6075153099222437
0.17  -2.6357881237060043  -2.6187305472029108  -2.652845700209098
0.18000000000000002  -2.67470585711182  -2.6570821219231684  -2.6923295923004718
0.19000000000000003  -2.7083369564814617  -2.6901777349534597  -2.7264961780094636
0.20000000000000004  -2.737158140217707  -2.718492481672338  -2.7558237987630765
0.21000000000000005  -2.7616014074300197  -2.742456570064952  -2.7807462447950875
0.22000000000000006  -2.7820596443084944  -2.7624609660767114  -2.8016583225402774
0.23000000000000007  -2.798891537184408  -2.7788623478606596  -2.818920726508156
0.24000000000000007  -2.8124258325384415  -2.7919874068984414  -2.8328642581784416
0.25000000000000006  -2.8229649894929523  -2.8021365397588927  -2.843793439227012
0.26000000000000006  -2.8307882741737043  -2.80958697855239  -2.8519895697950184
0.2700000000000001  -2.836154347884406  -2.814595411083025  -2.8577132846857864
0.2800000000000001  -2.839303402433686  -2.8174001434282516  -2.8612066614391205
0.2900000000000001  -2.840458896313646  -2.8182228583161675  -2.8626949343111243
0.3000000000000001  -2.83982894487119  -2.8172700223474405  -2.8623878673949394
0.3100000000000001  -2.8376074162524705  -2.81473399394067  -2.860480838564271
0.3200000000000001  -2.8339747828459108  -2.8107938819794045  -2.857155683712417
0.3300000000000001  -2.829098775304785  -2.805616202614253  -2.852581347995317
0.34000000000000014  -2.8231348830950416  -2.7993553786268524  -2.846914387563231
0.35000000000000014  -2.8162267419815548  -2.7921541222908735  -2.840299361672236
0.36000000000000015  -2.808506445025323  -2.7841437388611  -2.8328691511895463
0.37000000000000016  -2.8000948095984883  -2.7754443837710916  -2.824745235425885
0.38000000000000017  -2.7911016287119312  -2.766165302404537  -2.8160379550193255
0.3900000000000002  -2.7816259306648603  -2.7564050770011272  -2.8068467843285934
0.4000000000000002  -2.771756266735417  -2.7462519009354622  -2.797260632535372
0.4100000000000002  -2.761571042398484  -2.735783896332115  -2.787358188464853
0.4200000000000002  -2.7511389034401037  -2.72506948681253  -2.7772083200676776
0.4300000000000002  -2.7405191843889645  -2.714167833163637  -2.766870535614292
0.4400000000000002  -2.7297624229529585  -2.7031293359248  -2.756395509981117
0.45000000000000023  -2.7189109406740033  -2.6919962053518875  -2.745825675996119
0.46000000000000024  -2.7079994868353325  -2.680803095974674  -2.735195877695991
0.47000000000000025  -2.6970559398047698  -2.669577800050733  -2.7245340795588064
0.48000000000000026  -2.6861020575000705  -2.6583419916614797  -2.7138621233386613
0.49000000000000027  -2.6751542665429446  -2.6471120110203286  -2.7031965220655607
0.5000000000000002  -2.6642244779417283  -2.6358996767847405  -2.692549279098716
0.5100000000000002  -2.653320915819918  -2.6247131127955265  -2.6819287188443095
0.5200000000000002  -2.6424489447981636  -2.6135575747178508  -2.6713403148784765
0.5300000000000002  -2.6316118811381406  -2.602436261527207  -2.660787500749074
0.5400000000000003  -2.620811772668316  -2.5913510966707483  -2.650272448665884
0.5500000000000003  -2.6100501328215033  -2.580303464027926  -2.6397968016150806
0.5600000000000003  -2.599328614809414  -2.5692948844810646  -2.6293623451377632
0.5700000000000003  -2.588649613023692  -2.5583276199709504  -2.6189716060764336
0.5800000000000003  -2.578016780155484  -2.5474051933226907  -2.6086283669882775
0.5900000000000003  -2.5674354502430567  -2.5365328138601266  -2.598338086625987
0.6000000000000003  -2.5569129598522435  -2.525717700845363  -2.5881082188591242
0.6100000000000003  -2.546458861825527  -2.5149692990401995  -2.577948424610854
0.6200000000000003  -2.5360850284646244  -2.504299383151326  -2.567870673777923
