
# Writing all output to stdout
# Analysing free energies contained in file(s) "['lambda-0.0000/gradients.s3', 'lambda-0.0625/gradients.s3', 'lambda-0.1250/gradients.s3', 'lambda-0.1875/gradients.s3', 'lambda-0.2500/gradients.s3', 'lambda-0.3125/gradients.s3', 'lambda-0.3750/gradients.s3', 'lambda-0.4375/gradients.s3', 'lambda-0.5000/gradients.s3', 'lambda-0.5625/gradients.s3', 'lambda-0.6250/gradients.s3', 'lambda-0.6875/gradients.s3', 'lambda-0.7500/gradients.s3', 'lambda-0.8125/gradients.s3', 'lambda-0.8750/gradients.s3', 'lambda-0.9375/gradients.s3', 'lambda-1.0000/gradients.s3']"
# Processing object TI( nLambdaValues() == 17, nIterations() == 1, nSamples() == 170000 )
# Averaging over iterations 0 to 0
# Convergence
# Iteration 
# TI 
# PMFs
# TI
# Lambda  PMF  Maximum  Minimum 
0.0  0.0  0.0  0.0
0.0  -0.13826100284986767  -0.1373215953365505  -0.13920041036318484
0.01  -0.2650531648028691  -0.2631869908113928  -0.26691933879434543
0.02  -0.3811325142509601  -0.37837092935633576  -0.3838940991455845
0.03  -0.48727022509013973  -0.48365728549570736  -0.4908831646845721
0.04  -0.5842347899934672  -0.5798224158092862  -0.5886471641776483
0.05  -0.6727781097383857  -0.6676222603715025  -0.6779339591052689
0.060000000000000005  -0.7536249420111066  -0.7477826554892599  -0.7594672285329533
0.07  -0.8274652088285128  -0.8209923725509181  -0.8339380451061076
0.08  -0.894948713593543  -0.8878984485055689  -0.9019989786815171
0.09  -0.9566818669992124  -0.9491034205790496  -0.9642603134193752
0.09999999999999999  -1.013226065681748  -1.0051641214621145  -1.0212880099013815
0.10999999999999999  -1.0650974088538319  -1.056591731534356  -1.0736030861733077
0.11999999999999998  -1.112767476280277  -1.103852821868958  -1.121682130691596
0.12999999999999998  -1.1566649260428357  -1.147371155948924  -1.1659586961367474
0.13999999999999999  -1.197177702727069  -1.187530049362365  -1.2068253560917728
0.15  -1.2346556760976888  -1.2246751153767281  -1.2446362368186494
0.16  -1.2694135571514973  -1.2591172503599763  -1.2797098639430182
0.17  -1.3017339627875884  -1.2911357366579086  -1.312332188917268
0.18000000000000002  -1.3318705223479694  -1.3209813618846784  -1.3427596828112605
0.19000000000000003  -1.360050939090012  -1.348879472768579  -1.371222405411445
0.20000000000000004  -1.3864799373834034  -1.375032898844126  -1.3979269759226807
0.21000000000000005  -1.4113420422035887  -1.3996246965180676  -1.4230593878891098
0.22000000000000006  -1.4348041514424472  -1.422820677481177  -1.4467876254037175
0.23000000000000007  -1.4570178737933466  -1.4447716972064097  -1.4692640503802834
0.24000000000000007  -1.478121615606404  -1.4656156894804928  -1.4906275417323154
0.25000000000000006  -1.498242409262032  -1.4854794416702286  -1.5110053768538352
0.26000000000000006  -1.517497483384514  -1.5044801128332779  -1.5305148539357503
0.2700000000000001  -1.535995581716987  -1.5227265029491264  -1.5492646604848477
0.2800000000000001  -1.5538380428056362  -1.5403200865689526  -1.5673559990423198
0.2900000000000001  -1.5711196568920618  -1.5573558281597615  -1.584883485624362
0.3000000000000001  -1.5879293196825484  -1.573922799441116  -1.6019358399239807
0.3100000000000001  -1.6043505050424205  -1.590104621171856  -1.618596388912985
0.3200000000000001  -1.6204615802401088  -1.6059797532254207  -1.6349434072547968
0.3300000000000001  -1.6363359882227977  -1.621621657478369  -1.6510503189672263
0.34000000000000014  -1.6520423216245392  -1.6370988581071544  -1.666985785141924
0.35000000000000014  -1.6676443128651541  -1.6524749234186247  -1.6828137023116836
0.36000000000000015  -1.6832007638682767  -1.6678083924030604  -1.6985931353334929
0.37000000000000016  -1.6987654376796404  -1.6831526678637379  -1.714378207495543
0.38000000000000017  -1.7143869326691263  -1.6985558963098564  -1.7302179690283963
0.3900000000000002  -1.7301085581155708  -1.7140608528624106  -1.746156263368731
0.4000000000000002  -1.7459682278624065  -1.7297048472745578  -1.7622316084502552
0.4100000000000002  -1.7619983864509259  -1.7455196648642683  -1.7784771080375834
0.4200000000000002  -1.7782259797399609  -1.7615315537499474  -1.7949204057299744
0.4300000000000002  -1.7946724795560933  -1.7777612673182845  -1.811583691793902
0.4400000000000002  -1.8113539694331642  -1.7942241683827604  -1.828483770483568
0.45000000000000023  -1.8282812960372188  -1.8109303990532288  -1.8456321930212087
0.46000000000000024  -1.845460288472044  -1.8278851179698297  -1.8630354589742582
0.47000000000000025  -1.8628920453593636  -1.845088804295113  -1.8806952864236142
0.48000000000000026  -1.8805732874156758  -1.8625376257351145  -1.898608949096237
0.49000000000000027  -1.8984967712382539  -1.8802238659053043  -1.9167696765712035
0.5000000000000002  -1.9166517581889526  -1.8981364045933735  -1.9351671117845317
0.5100000000000002  -1.9350245306495328  -1.9162612429194963  -1.9537878183795694
0.5200000000000002  -1.95359894653648  -1.9345820640757703  -1.9726158289971898
0.5300000000000002  -1.9723570218203843  -1.9530808192523195  -1.9916332243884491
0.5400000000000003  -1.9912795299095334  -1.9717383275418794  -2.010820732277187
0.5500000000000003  -2.0103466061372774  -1.9905348780643888  -2.0301583342101663
0.5600000000000003  -2.0295383452402334  -2.0094508222698826  -2.049625868210584
0.5700000000000003  -2.0488353796414196  -2.0284671443718385  -2.0692036149110007
0.5800000000000003  -2.0682194265435867  -2.0475659981192798  -2.0888728549678937
0.5900000000000003  -2.0876737923006115  -2.0667311986392187  -2.108616385962004
0.6000000000000003  -2.107183823255124  -2.0859486588581215  -2.1284189876521267
0.6100000000000003  -2.1267372931958413  -2.105206761027337  -2.1482678253643455
