Bond Lengths, DDG
1092_allbonds,0.0000
1092_none,0.4093
1200_allbonds,0.0000
1200_none,0.4165
1500_allbonds,0.0000
1500_none,0.4210
1800_allbonds,0.0000
1800_none,0.4213
2000_allbonds,0.0000
2000_none,0.3758
2184_allbonds,0.0000
2184_none,0.4098
2500_allbonds,0.0000
2500_none,0.4281
3000_allbonds,0.0000
3000_none,0.3835
