# lambda_val.val 0.00000
    1       -32.1922097414
    2       -30.4986713617
    3       -32.0410883819
    4       -32.0896739449
    5       -32.9219269886
    6       -35.7994995220
    7       -32.3177539571
    8       -30.7981580489
    9       -35.6523230527
   10       -32.3648119753
   11       -33.4151639330
   12       -34.6107590317
   13       -30.7022177811
   14       -31.6634460514
   15       -30.7183119809
   16       -32.8139739183
   17       -32.9136299656
   18       -33.1092653889
   19       -31.5248566946
   20       -30.6625242745
   21       -31.6460220056
   22       -32.3170632913
   23       -31.9831703838
   24       -34.9435619279
   25       -33.1505300731
   26       -34.8170676437
   27       -30.0109825888
   28       -33.8983326828
   29       -31.8221580042
   30       -32.5231491869
   31       -31.8379132183
   32       -32.2101813548
   33       -31.1844286474
   34       -35.1614581701
   35       -32.4887284607
   36       -32.0797414596
   37       -32.3752952245
   38       -33.7380779273
   39       -30.3573938341
   40       -34.5069917878
   41       -33.7458940798
   42       -32.5220849656
   43       -33.4096284021
   44       -34.0352269190
   45       -31.8854992328
   46       -33.3494066218
   47       -33.6774341856
   48       -34.7980336953
   49       -31.5114356712
   50       -30.7536360774
   51       -34.4764369115
   52       -32.6939521143
   53       -32.6869925451
   54       -34.9785132648
   55       -31.9032358512
   56       -30.9030897828
   57       -31.6421053935
   58       -32.1996548431
   59       -33.8486962323
   60       -32.1775541575
   61       -34.3439985760
   62       -32.8581723377
   63       -34.1042717136
   64       -31.2475485786
   65       -32.5418049996
   66       -29.9541172623
   67       -34.7756329432
   68       -31.5225248014
   69       -32.3803333118
   70       -33.1525037402
   71       -32.6516364957
   72       -32.6356692336
   73       -31.7965600123
   74       -33.8079724169
   75       -30.6123795078
   76       -34.2338955631
   77       -32.6354410253
   78       -34.7318484741
   79       -32.9624099648
   80       -33.4789761267
   81       -31.5010309612
   82       -30.6208288424
   83       -32.9010519717
   84       -33.3024264003
   85       -30.9472926036
   86       -33.8484943083
   87       -32.0528473942
   88       -34.3433678372
   89       -31.4350715125
   90       -32.5257340223
   91       -31.5043164251
   92       -31.8340198285
   93       -32.3875662319
   94       -33.2171046729
   95       -29.1403552405
   96       -32.8359544318
   97       -33.4858402733
   98       -31.9574699256
   99       -32.5284118722
  100       -32.6918537286
