# lambba_val.val 0.2500
#time (ps)      gradients (kcal/mol*lam)
0.000            20.1014905172
200.000            12.1948704208
400.000            7.2295962660
600.000            -4.0253284038
800.000            -5.3563562019
1000.000            -4.1658932306
1200.000            -0.8496271722
1400.000            -9.8953589780
1600.000            -10.8720197191
1800.000            -3.3416209950
2000.000            -2.6027252939
2200.000            1.9131221011
2400.000            2.0431171239
2600.000            0.5949656467
2800.000            -1.0219395229
3000.000            -3.4471818500
3200.000            1.9324562731
3400.000            1.3113042030
3600.000            13.5350591379
3800.000            11.4945913245
4000.000            8.7665486096
4200.000            4.5012184468
4400.000            1.0233381668
4600.000            -8.0450390459
4800.000            -11.1802257170
5000.000            -2.8812171767
5200.000            14.4410274595
5400.000            7.1451447047
5600.000            -5.9016909924
5800.000            0.3626841957
6000.000            -13.3584850859
6200.000            -12.1814961953
6400.000            -15.6756197178
6600.000            -6.3415861192
6800.000            -10.0236831106
7000.000            6.6402177763
7200.000            1.5562985891
7400.000            -0.0496291585
7600.000            0.4006629726
7800.000            -3.5637393742
8000.000            0.6096791450
8200.000            2.8585020270
8400.000            10.0168677023
8600.000            13.0726359589
8800.000            14.5608537242
9000.000            11.5776883552
9200.000            2.9688625589
9400.000            6.7182816009
9600.000            -0.1257106772
9800.000            -11.4965589578
10000.000            -8.4009531984
10200.000            1.9495955624
10400.000            11.3063540892
10600.000            12.9747674168
10800.000            20.7623883056
11000.000            13.2279937162
11200.000            1.5494283461
11400.000            -11.2944056729
11600.000            -12.3005809728
11800.000            -17.3058494789
12000.000            -19.5633275992
12200.000            -8.5689865086
12400.000            -17.7499079816
12600.000            -16.2325464011
12800.000            -8.8305110721
13000.000            5.8154144024
13200.000            14.7557352873
13400.000            11.4219313903
13600.000            13.7293703536
13800.000            2.9389737281
14000.000            -0.6107414392
14200.000            -3.8433968637
14400.000            -2.8184862803
14600.000            18.2338896163
14800.000            8.0183761648
15000.000            -6.7093417108
15200.000            -13.6688583802
15400.000            -13.7653011131
15600.000            -3.5077544043
15800.000            7.1496217954
16000.000            9.1582366731
16200.000            8.0323492610
16400.000            -16.8950411385
16600.000            7.5664898842
16800.000            19.2050466058
17000.000            12.8377172892
17200.000            0.1540398557
17400.000            -9.2947165126
17600.000            -12.5441971735
17800.000            2.4084924610
18000.000            -1.3927686395
18200.000            -4.5201712071
18400.000            -5.9674499662
18600.000            -2.9607353634
18800.000            6.0422130342
19000.000            0.0041962573
19200.000            -2.2470170369
19400.000            -13.2721372292
19600.000            -7.0106467305
19800.000            10.1914455384
20000.000            6.4094268017
20200.000            2.0450125773
20400.000            1.0018432096
20600.000            5.5686613503
20800.000            -4.8646109994
21000.000            -5.2925577217
21200.000            -7.0957113945
21400.000            -6.6799411859
21600.000            -6.7156295863
21800.000            -3.1082582149
22000.000            3.9260875115
22200.000            8.5157890123
22400.000            4.7149494163
22600.000            -3.9607742341
22800.000            1.6569724303
23000.000            6.2377505146
23200.000            -1.5164428041
23400.000            -0.1435580642
23600.000            1.8083035635
23800.000            4.0393513832
24000.000            -4.8849218602
24200.000            11.8793926418
24400.000            1.0778006211
24600.000            1.2247228407
24800.000            1.9475771327
25000.000            2.6158090087
25200.000            -1.5014988364
25400.000            -5.3744142617
25600.000            -6.9486376693
25800.000            -5.5859637205
26000.000            -1.6808759223
26200.000            5.5310908984
26400.000            4.6329075223
26600.000            5.6727892565
26800.000            4.5887711490
27000.000            -0.6758277316
27200.000            0.1135114332
27400.000            1.8577039029
27600.000            4.9992444029
27800.000            6.1081074907
28000.000            -5.3870898324
28200.000            3.8304396951
28400.000            6.8309787010
28600.000            10.2929071268
28800.000            10.0022102248
29000.000            4.1089529614
29200.000            -1.9584124999
29400.000            -7.9919128875
29600.000            -3.9072452508
29800.000            2.0078475891
30000.000            8.4796443577
30200.000            7.2973228553
30400.000            10.5199267993
30600.000            -8.1612294497
30800.000            -14.8630142650
31000.000            -12.2750016806
31200.000            -2.1348154061
31400.000            7.4401761402
31600.000            14.0365498092
31800.000            14.9378985422
32000.000            9.6677975407
32200.000            8.4580431467
32400.000            -10.1569405881
32600.000            -3.9011748047
32800.000            -6.0347345926
33000.000            -1.0143612735
33200.000            3.2589517367
33400.000            0.6792803377
33600.000            0.7780253160
33800.000            5.2359596551
34000.000            7.1718646324
34200.000            13.3432573203
34400.000            8.7223052947
34600.000            5.5333650890
34800.000            -1.4012139735
35000.000            3.0475805040
35200.000            6.3771960657
35400.000            7.2498144231
35600.000            -2.9340350344
35800.000            -8.7665200863
36000.000            -7.7661051884
36200.000            -3.5646768538
36400.000            1.2736972104
36600.000            5.1012834785
36800.000            8.0974238357
37000.000            -5.8911541533
37200.000            2.9531036432
37400.000            10.4833116585
37600.000            7.9635960108
37800.000            5.3962436235
38000.000            4.8482354171
38200.000            11.0931649557
38400.000            5.7252595688
38600.000            4.3097338901
38800.000            -3.5929544977
39000.000            -2.3600162409
39200.000            -3.3282859786
39400.000            -0.3008380488
39600.000            7.8121307648
39800.000            12.6151176608
40000.000            12.0241422814
40200.000            6.2956032981
40400.000            -2.0848144467
40600.000            -6.2207831835
40800.000            -7.1955048146
41000.000            -5.9205261193
41200.000            -2.2358965079
41400.000            3.0079390410
41600.000            6.9351921652
41800.000            5.3556361636
42000.000            -3.5635290608
42200.000            3.9429051042
42400.000            -1.0355017828
42600.000            4.5806368257
42800.000            7.9870508212
43000.000            6.0298297710
43200.000            3.7865314548
43400.000            5.4902766950
43600.000            -0.3378253214
43800.000            -5.1080703990
44000.000            -1.9387601952
44200.000            8.0418024519
