# lambba_val.val 0.8750
#time (ps)      gradients (kcal/mol*lam)
0.000            -3.2015445097
200.000            3.2759154742
400.000            -2.6082307593
600.000            -6.5397970215
800.000            3.7300688353
1000.000            -3.6713248973
1200.000            -3.0090583108
1400.000            0.3857138239
1600.000            4.2362932774
1800.000            5.8518655847
2000.000            -3.2557828455
2200.000            -5.9432894265
2400.000            0.5647402464
2600.000            6.4965660169
2800.000            4.1496602292
3000.000            13.0919130843
3200.000            12.0352066533
3400.000            3.4180415810
3600.000            -4.4914016520
3800.000            -10.2476800249
4000.000            8.1832014043
4200.000            3.8752176884
4400.000            10.6865485323
4600.000            14.3566757594
4800.000            12.8160447403
5000.000            11.0148872360
5200.000            10.0627221389
5400.000            8.7777128427
5600.000            7.2098771184
5800.000            5.4173315574
6000.000            0.6595575195
6200.000            -0.7931001706
6400.000            -0.2141872343
6600.000            -1.7031178817
6800.000            -4.3852063047
7000.000            -2.7339884057
7200.000            -5.7348910095
7400.000            -10.3634568705
7600.000            -10.6267209995
7800.000            -7.2937725643
8000.000            10.5646691237
8200.000            10.0301563579
8400.000            2.5500571509
8600.000            2.3600804035
8800.000            -0.5232772938
9000.000            -4.3157972084
9200.000            -9.3919576607
9400.000            4.0949085985
9600.000            4.5744416243
9800.000            2.3700611687
10000.000            0.7039006362
10200.000            -0.3347834022
10400.000            0.8327380696
10600.000            2.7623908167
10800.000            2.6987990800
11000.000            -3.3411041302
11200.000            -2.8399556199
11400.000            -2.8190245286
11600.000            -2.7978082754
11800.000            -2.7773334442
12000.000            -5.5866053406
12200.000            -2.1564727802
12400.000            -2.4902866232
12600.000            3.1236945386
12800.000            4.6948381771
13000.000            4.8195692337
13200.000            4.4245020012
13400.000            -3.2921128304
13600.000            1.9149952814
13800.000            -9.8569472844
14000.000            -7.2427280731
14200.000            -2.7367830190
14400.000            -2.9735838173
14600.000            -1.7198855675
14800.000            -4.9369430402
15000.000            -5.3993091429
15200.000            -4.9194909553
15400.000            -2.8454878178
15600.000            11.7864289213
15800.000            8.5510639138
16000.000            -8.9713967237
16200.000            -1.4725907031
16400.000            -1.4842254284
16600.000            -1.7442956653
16800.000            4.8618306477
17000.000            5.1287448400
17200.000            1.2013420071
17400.000            -3.1248922267
17600.000            9.1932548649
17800.000            6.3271211295
18000.000            11.2536271384
18200.000            12.1502991176
18400.000            8.8766079271
18600.000            14.6497110383
18800.000            9.9704999056
19000.000            0.1187425969
19200.000            -6.4255029724
19400.000            -9.9170030036
19600.000            -5.3517436641
19800.000            -3.9126312978
20000.000            -6.3372159464
20200.000            -6.2777305746
20400.000            -2.0823869834
20600.000            1.0924090753
20800.000            1.8833419910
21000.000            2.6548837060
21200.000            -0.5240472385
21400.000            0.3314754911
21600.000            1.2538123193
21800.000            2.0690412693
22000.000            3.4541434329
22200.000            5.5552942527
22400.000            2.8739187402
22600.000            1.9115162690
22800.000            -0.0373565806
23000.000            -0.4312261161
23200.000            -3.3654571993
23400.000            2.0718929174
23600.000            1.6667878909
23800.000            -1.0086847099
24000.000            4.0062793996
24200.000            4.1349457288
24400.000            3.8136221024
24600.000            2.4897733224
24800.000            8.1172713085
25000.000            13.7401496111
25200.000            13.4063927850
25400.000            4.4348249689
25600.000            1.8873342983
25800.000            8.0685081476
26000.000            5.3180371943
26200.000            2.4058208240
26400.000            1.1350126918
26600.000            -0.1591219238
26800.000            -0.5943403460
27000.000            -1.0236843780
27200.000            -0.5902339740
27400.000            -2.2606149421
27600.000            3.7323501538
27800.000            1.9950125073
28000.000            -1.7423565494
28200.000            6.5314701748
28400.000            5.7709928614
28600.000            2.0632239097
28800.000            -0.7352117241
29000.000            -1.6193935104
29200.000            3.3952854313
29400.000            9.5049399345
29600.000            13.9804864032
29800.000            7.1075029623
30000.000            20.1856711368
30200.000            24.1799165680
30400.000            15.7033377238
30600.000            22.6226889614
30800.000            10.3890076394
31000.000            -16.8944138038
31200.000            -21.8290184730
31400.000            -8.4724724971
31600.000            -10.6928221758
31800.000            -2.3712588627
32000.000            2.1588681622
32200.000            -4.7981818763
32400.000            -3.1005961924
32600.000            -1.4816589422
32800.000            3.5745970204
33000.000            -0.7818076420
33200.000            -6.3284899514
33400.000            -9.0684667913
33600.000            -4.7596846365
33800.000            0.4323667753
34000.000            7.2966241827
34200.000            -3.5064426468
34400.000            -4.8341696646
34600.000            4.3682104859
34800.000            5.9969003624
35000.000            6.6069247994
35200.000            7.4516967663
35400.000            17.5216621630
35600.000            21.4849957495
35800.000            1.8646351893
36000.000            4.1324362773
36200.000            3.1109761889
36400.000            3.7509428919
36600.000            12.2404112197
36800.000            3.5598825200
37000.000            6.3568923387
37200.000            6.9178113945
37400.000            3.3504005023
37600.000            2.0696686337
37800.000            2.6089721872
38000.000            2.8388719955
38200.000            1.6977567822
38400.000            11.2585319600
38600.000            3.4301325663
38800.000            3.6490820485
39000.000            3.5729430663
39200.000            2.9740971181
39400.000            9.1499098264
39600.000            3.2259546134
39800.000            1.4847387232
40000.000            -0.2752410046
40200.000            0.0244101016
40400.000            -2.2898158098
40600.000            -4.8408425216
40800.000            0.1594641216
41000.000            11.9108177873
41200.000            -2.6901300723
41400.000            -10.3137812012
41600.000            2.5774900010
41800.000            -1.7674510463
42000.000            -10.1407432082
42200.000            -13.0402412584
42400.000            -6.9402253120
42600.000            1.1823500376
42800.000            -5.9457988246
43000.000            9.0925917510
43200.000            11.7998887167
43400.000            6.9157011447
43600.000            1.4185805063
43800.000            -4.6927279569
44000.000            7.3216616508
44200.000            1.6403816365
44400.000            3.6504508407
44600.000            9.2660859389
44800.000            11.5738671225
45000.000            8.6064999258
45200.000            6.8822798426
45400.000            4.8668495447
45600.000            2.6647504076
45800.000            0.3853716267
46000.000            -0.1629431310
46200.000            -3.1222116829
46400.000            -4.7788477043
46600.000            -6.3521585976
46800.000            -0.3955805244
47000.000            1.5390911226
47200.000            0.6416206571
47400.000            -11.1632869685
47600.000            -11.2241981495
47800.000            -8.0991918652
48000.000            4.1149271636
48200.000            7.1520456829
48400.000            4.1402497936
48600.000            6.5975143638
48800.000            8.7415539561
49000.000            4.6386607194
49200.000            -4.5906389804
49400.000            2.7307375263
49600.000            2.5951702130
49800.000            3.2821890999
50000.000            0.8014269758
50200.000            -0.3025027540
50400.000            0.7912751123
50600.000            1.0920098439
50800.000            3.1473061798
51000.000            -3.3437846800
51200.000            -2.8095000294
51400.000            -2.8136634350
51600.000            -2.8172565110
51800.000            -2.8221613444
52000.000            -5.1123193508
52200.000            -2.6041243825
52400.000            -2.5038034296
52600.000            2.8292334268
52800.000            3.6599753399
53000.000            3.9935610499
53200.000            3.9114906386
53400.000            -3.1363558536
53600.000            2.5517681398
53800.000            -9.0689800921
54000.000            -7.7609294251
54200.000            -5.9016553472
54400.000            -1.8489511280
54600.000            0.4637348962
54800.000            -2.0705241251
55000.000            -2.9058857098
55200.000            -3.2483685606
55400.000            -2.4255542273
55600.000            10.7151220594
55800.000            5.5916242435
56000.000            -21.4272784072
56200.000            -13.6580221354
56400.000            1.4744157615
56600.000            -3.9714892993
56800.000            3.2461442769
57000.000            5.0876811199
57200.000            -0.2389110173
57400.000            -8.8383958966
57600.000            -7.0141970808
57800.000            -8.2403483992
58000.000            -12.5721718299
58200.000            -18.1273520665
58400.000            -7.4967528470
58600.000            6.1762119396
58800.000            15.3836109812
59000.000            4.1137294756
59200.000            6.4924026232
59400.000            2.1994756221
59600.000            6.7832136184
59800.000            7.3466421316
60000.000            2.8671603370
60200.000            1.2136611254
60400.000            1.7577554429
60600.000            -0.3282246129
60800.000            -0.5188287235
61000.000            -0.7040147057
61200.000            -0.9655678044
61400.000            -2.1446099278
61600.000            -2.7572578502
61800.000            -2.6798926567
62000.000            -1.4439031303
62200.000            0.3318176888
62400.000            1.8934938604
62600.000            4.0220204957
62800.000            5.6585238884
63000.000            7.6132711205
63200.000            3.1897386921
63400.000            -6.5826287592
63600.000            -6.7939358293
63800.000            -2.8618562722
64000.000            0.8559504794
64200.000            1.3552739314
64400.000            1.8934938604
64600.000            2.0027689829
64800.000            7.8525243237
65000.000            12.3850467661
65200.000            12.0436475339
65400.000            2.9274441655
65600.000            -0.3565699880
65800.000            8.6341038386
66000.000            5.6316043391
66200.000            2.0677865466
66400.000            0.4057323891
66600.000            -2.0029971159
66800.000            -3.8082039741
67000.000            -5.4557147277
67200.000            -4.3744270769
67400.000            3.2010882436
67600.000            5.4045561730
67800.000            4.0209939000
68000.000            0.8495057554
68200.000            7.0873703158
68400.000            8.1674602786
68600.000            7.4707458239
68800.000            3.7739842034
69000.000            1.7525084129
69200.000            4.7974974831
69400.000            7.4964676733
69600.000            15.4193136136
69800.000            6.9779241010
70000.000            11.6498920352
70200.000            10.9965226190
70400.000            7.1410383576
70600.000            12.9966680928
70800.000            11.1908338940
71000.000            -0.5647402464
71200.000            -3.0238583632
71400.000            -2.4066192866
71600.000            -3.1625339750
71800.000            1.2015131053
72000.000            1.3318904233
72200.000            -3.8855976850
72400.000            -3.9768503988
72600.000            -1.9282839548
72800.000            3.9858616031
73000.000            0.6047773773
73200.000            -4.1855909887
73400.000            -7.3591893593
73600.000            -12.2803342924
73800.000            -14.6635129947
74000.000            3.0864520216
74200.000            -8.6080398282
74400.000            -7.3434482336
74600.000            -11.0548103087
74800.000            -4.1321511155
75000.000            2.0432623793
75200.000            4.1861613183
75400.000            13.4754026263
75600.000            14.2385034903
75800.000            5.7538259443
76000.000            7.1023700136
76200.000            5.6618318025
76400.000            8.0536795303
76600.000            12.1948988848
76800.000            12.4627826617
77000.000            5.2030587698
77200.000            -4.4435510114
77400.000            -11.9075669020
77600.000            -10.9261439558
77800.000            -9.1683314900
78000.000            -4.2071494384
78200.000            0.2158697064
78400.000            -1.8717072717
78600.000            -2.4816746443
78800.000            5.9471105999
79000.000            10.1619595029
79200.000            10.1126830412
79400.000            -1.5692045165
79600.000            -6.5424775594
79800.000            -4.5054602707
80000.000            -4.9502887483
80200.000            6.1312700114
80400.000            4.4305474939
80600.000            3.8245724286
80800.000            11.2160994892
81000.000            17.2603372033
81200.000            1.0808313907
81400.000            -4.5723884389
81600.000            3.4510636577
81800.000            0.4052190924
82000.000            -8.8914365444
82200.000            -13.5506861111
82400.000            -19.1007903863
82600.000            -22.1116737613
82800.000            -12.1489303550
83000.000            -13.5252494354
83200.000            -6.4451793647
83400.000            0.6200051726
83600.000            5.5182228399
