# lambba_val.val 0.2500
#time (ps)      gradients (kcal/mol*lam)
0.000            19.8881872905
200.000            14.0390592666
400.000            -4.4788757901
600.000            -9.0111486566
800.000            -8.5137358091
1000.000            -6.5231433874
1200.000            -3.0813636132
1400.000            0.3901457689
1600.000            4.0538840876
1800.000            7.0922181501
2000.000            -3.9688978656
2200.000            -8.0387226471
2400.000            -3.3608161440
2600.000            -3.8294309250
2800.000            -9.3608747355
3000.000            -0.9139518687
3200.000            -3.7245758467
3400.000            -4.6825618318
3600.000            -3.6412578404
3800.000            -1.6723067225
4000.000            0.8106745618
4200.000            4.1117511446
4400.000            5.3913245284
4600.000            5.9876824146
4800.000            6.9025408143
5000.000            9.2101936727
5200.000            1.1406560534
5400.000            -5.4440514910
5600.000            -3.7598649861
5800.000            -4.6899975062
6000.000            -1.3470696519
6200.000            10.5348124039
6400.000            6.4694611136
6600.000            0.3874898939
6800.000            -3.4474848375
7000.000            -2.7402620314
7200.000            -2.6868631523
7400.000            -2.6273706586
7600.000            -7.0590819624
7800.000            -8.3310022661
8000.000            -9.6368286494
8200.000            -7.5788944954
8400.000            -9.2521414253
8600.000            -3.7301009166
8800.000            -4.4940536844
9000.000            5.2335571393
9200.000            5.7207967397
9400.000            8.8060581834
9600.000            9.7898765531
9800.000            1.2935273024
10000.000            -6.0761476371
10200.000            -10.3521073249
10400.000            -7.8759363788
10600.000            -2.1531595231
10800.000            0.4702996173
11000.000            -2.6016274137
11200.000            -3.2372257466
11400.000            4.3961566309
11600.000            10.3382483219
11800.000            5.8138388667
12000.000            8.5922416559
12200.000            4.5777637941
12400.000            0.5278431596
12600.000            -4.2655975168
12800.000            -8.4623348656
13000.000            -5.1083270435
13200.000            2.6307890723
13400.000            2.2865702793
13600.000            1.4052682137
13800.000            0.2556884366
14000.000            0.7882769874
14200.000            -1.7090635666
14400.000            1.0771810547
14600.000            3.3167653229
14800.000            6.9150595187
15000.000            5.1180511642
15200.000            1.4926458090
15400.000            -0.9088881884
15600.000            -3.0479530029
15800.000            -5.4923512699
16000.000            -3.4691573567
16200.000            -2.9450816044
16400.000            4.1769398006
16600.000            2.9763160530
16800.000            9.1960209727
17000.000            4.9816140919
17200.000            -5.1643690422
17400.000            -4.8246451655
17600.000            -0.3525742004
17800.000            1.4051978127
18000.000            0.3557434978
18200.000            1.8847749459
18400.000            2.6288410376
18600.000            3.0626478927
18800.000            4.6101086055
19000.000            3.9876296267
19200.000            2.8994178173
19400.000            7.7956339792
19600.000            7.8350722744
19800.000            1.9085184761
20000.000            -1.2180655796
20200.000            -6.9012005157
20400.000            -9.1170303484
20600.000            9.2674262375
20800.000            -11.2928373065
21000.000            -10.0853927661
21200.000            -1.8795689099
21400.000            0.9513465495
21600.000            3.8087885594
21800.000            8.7252567743
22000.000            6.4432259634
22200.000            5.4863841955
22400.000            -0.1909208936
22600.000            6.4594803306
22800.000            9.3183566355
23000.000            10.5708001507
23200.000            1.8704507640
23400.000            3.4142274999
23600.000            3.4699700751
23800.000            0.8139853638
24000.000            -1.1493319695
24200.000            -0.8494857002
24400.000            -1.3961322482
24600.000            -1.9774641785
24800.000            1.9690010249
25000.000            0.9687868219
25200.000            2.7540034069
25400.000            0.7362042342
25600.000            1.2395785877
25800.000            3.0542925702
26000.000            -6.0999232605
26200.000            -0.0282406373
26400.000            1.8923701314
26600.000            6.3952755090
26800.000            3.8351163955
27000.000            0.8268045235
27200.000            11.5006368409
27400.000            6.1453571415
27600.000            1.2344968624
27800.000            -4.8858629037
28000.000            -9.1483984473
28200.000            -7.3144042203
28400.000            -6.8108603458
28600.000            -5.0924362387
28800.000            13.0104130026
29000.000            11.4592023891
29200.000            4.1486443312
29400.000            -2.8505869180
29600.000            10.9738235278
29800.000            4.6186278985
30000.000            6.5330956471
30200.000            4.1809748810
30400.000            1.6149222192
30600.000            3.4566386286
30800.000            0.3707048575
31000.000            4.3203241941
31200.000            3.5864527449
31400.000            1.9361919300
31600.000            6.4770607644
31800.000            3.4131117941
32000.000            -1.1794671977
32200.000            -5.4643338345
32400.000            -5.4603415272
