# lambba_val.val 0.3125
#time (ps)      gradients (kcal/mol*lam)
0.000            2.9905727455
200.000            -6.1727245066
400.000            -1.8602894896
600.000            -2.3414978412
800.000            4.4891959411
1000.000            6.1291596430
1200.000            5.5755055310
1400.000            3.0347613324
1600.000            -0.5337767028
1800.000            -3.7831646736
2000.000            -5.4856730640
2200.000            -4.9993090103
2400.000            -6.2689968113
2600.000            -10.8339905698
2800.000            -2.4176860187
3000.000            0.0062354793
3200.000            -2.2472991686
3400.000            -3.7764308443
3600.000            -7.6440871957
3800.000            -7.2014788745
4000.000            -3.8202587983
4200.000            1.3841901770
4400.000            5.3766361793
4600.000            3.6699929778
4800.000            -2.4369461131
5000.000            -2.4577739454
5200.000            6.1739163773
5400.000            10.2258451126
5600.000            9.0739927211
5800.000            0.1014438464
6000.000            0.8709251882
6200.000            1.8701588064
6400.000            4.4534763014
6600.000            -0.3210250248
6800.000            2.2276434364
7000.000            1.3306906183
7200.000            4.8439022771
7400.000            -0.4703400249
7600.000            -9.7176405546
7800.000            5.7763116326
8000.000            1.5349996776
8200.000            -2.7154932457
8400.000            0.9827981013
8600.000            -4.1909962252
8800.000            -3.5620377014
9000.000            -2.1255160039
9200.000            3.4175386162
9400.000            6.7823138002
9600.000            11.8988054456
9800.000            8.6525915031
10000.000            9.4450014514
10200.000            1.7070298730
10400.000            -3.8671858414
10600.000            -7.4531097667
10800.000            -6.3872111834
11000.000            7.5343959533
11200.000            1.4854915130
11400.000            0.7254280721
11600.000            -0.3258672701
11800.000            -2.4229238335
12000.000            -7.1470098676
12200.000            -5.3092416403
12400.000            -10.1223482889
12600.000            -7.0552460233
12800.000            -4.6403269308
13000.000            1.0796476322
13200.000            3.8945736888
13400.000            13.8837299140
13600.000            4.7738702461
13800.000            5.3315269362
14000.000            -0.6716948715
14200.000            -0.7260564920
14400.000            16.1179800464
14600.000            11.8654831745
14800.000            2.3551105594
15000.000            -8.2975455026
15200.000            -15.5750279418
15400.000            -14.1494562976
15600.000            -7.2186275450
15800.000            4.4897329915
16000.000            12.6004593531
16200.000            7.6888294608
16400.000            14.2881406739
16600.000            6.2415854456
16800.000            -0.7953661126
17000.000            -10.6909523282
17200.000            -11.6238277283
17400.000            -8.3554482167
17600.000            -6.7540414578
17800.000            -1.1553679030
18000.000            1.5299653507
18200.000            1.6834977651
18400.000            1.5416781029
18600.000            -3.0126384949
18800.000            2.7070311475
19000.000            -0.9783833409
19200.000            -7.5254232110
19400.000            -10.9738154630
19600.000            -6.1985796031
19800.000            0.9196671375
20000.000            9.3776680211
20200.000            11.6417254171
20400.000            9.1100816930
20600.000            7.9936919468
20800.000            1.1921987476
21000.000            2.0220793993
21200.000            -4.1102183819
21400.000            -2.5935265059
21600.000            -3.0955505926
21800.000            0.5362903853
22000.000            -3.5293647950
22200.000            -5.1814608855
22400.000            -3.8332270145
22600.000            -0.6477416209
22800.000            -8.0224798434
23000.000            -10.7126225051
23200.000            -8.7699561655
23400.000            -3.3008758523
23600.000            3.5628842386
23800.000            9.4068648505
24000.000            14.2022991799
24200.000            2.4351608985
24400.000            4.5333931087
24600.000            -5.7740214547
24800.000            -12.3258670858
25000.000            -12.6098053296
25200.000            5.1011999307
25400.000            -10.7463132664
25600.000            -18.5904338906
25800.000            -19.7274619344
26000.000            3.3884176255
26200.000            11.3059956207
26400.000            12.6331493676
26600.000            5.9606349730
26800.000            1.7851929718
