# lambda_val.val 0.81250
    1         2.2065715270
    2         2.1817909371
    3         1.6427163006
    4         1.9822185292
    5         2.9488683242
    6         1.6915201812
    7         2.2448788175
    8         1.8107828495
    9         1.5044856845
   10         2.3091910548
   11         1.7298852651
   12         2.0283006705
   13         1.7805276613
   14         1.5662012665
   15         2.1329678700
   16         1.3875567185
   17         2.1201146921
   18         1.9875858662
   19         1.7813977458
   20         2.0895977262
   21         1.8739462868
   22         1.9405255778
   23         2.2473375684
   24         2.2228599990
   25         2.0127309342
   26         1.9818651960
   27         2.3583762062
   28         2.0209376299
   29         2.3278370060
   30         2.3601487712
   31         1.4271094256
   32         1.8542709412
   33         2.0123487972
   34         1.5827693870
   35         1.8195829705
   36         2.1784105904
   37         1.4017543489
   38         1.7948735207
   39         2.0741623335
   40         1.1132179168
   41         1.6522976871
   42         2.2249620899
   43         2.3982745664
   44         1.8677851667
   45         1.7572513868
   46         2.1230666658
   47         1.7022160366
   48         2.1069277441
   49         1.8072471150
   50         1.9004773677
   51         1.8111049190
   52         2.0353132468
   53         1.6634850503
   54         1.6002517969
   55         2.3744079416
   56         1.7027009889
   57         1.9273344057
   58         1.5174030720
   59         2.2878382050
   60         1.6069666439
   61         1.6065420410
   62         1.5382879836
   63         2.3555909529
   64         2.2823722876
   65         1.7685154795
   66         1.9667862070
   67         2.1733650330
   68         1.6271434933
   69         2.1384021797
   70         2.1598890118
   71         1.9392855755
   72         2.1852640724
   73         2.2040155924
   74         2.1543865330
   75         2.0587101824
   76         2.4019004506
   77         2.2533425077
   78         1.5649855101
   79         1.2932075026
   80         2.1422815551
   81         2.1855737862
   82         2.7755337602
   83         2.2280205540
   84         1.5577613528
   85         1.8788790259
   86         1.8122166221
   87         2.3838013274
   88         2.2082247454
   89         2.6659829389
   90         1.7548992169
   91         1.9266270889
   92         2.2235325195
   93         2.2905777678
   94         1.9954255205
   95         2.1436472338
   96         1.7917419083
   97         2.0464108111
   98         2.4386233733
   99         2.4004425044
  100         2.1436638452
