morph,VACUUM,,FREE,FUNC,LJ_cor_0,LJ_cor_1
,discharge,vanish,discharge,vanish,,,,
neopentane, 3.51200,-3.30960, 6.37300,-5.74630, 2.87417,-30.70442,-30.53997
2-methylindole,11.99810,-2.96610,21.82340,-4.08320, 2.36895,-33.71817,-33.40277
2-methylfuran, 8.11620, 0.16370,12.10870,-1.42570, 1.84939,-30.03115,-29.85076
methanol,-3.82110, 0.00000, 1.56790,-1.62450,-0.00000,-25.47849,-25.35275
ethane,-0.91660,-0.12640,-0.92580,-2.60180,-0.00000,-26.08205,-26.00509
methane,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000
toluene, 1.27940,-3.88470, 6.16060,-5.97250, 2.00790,-31.47018,-31.20568
