Bond Lengths, DDG
1092_allbonds,0.0000
1092_none,0.3540
1200_allbonds,0.0000
1200_none,0.3213
1500_allbonds,0.0000
1500_none,0.2969
1800_allbonds,0.0000
1800_none,0.5369
2000_allbonds,0.0000
2000_none,0.4151
2184_allbonds,0.0000
2184_none,0.4594
2500_allbonds,0.0000
2500_none,0.2483
3000_allbonds,0.0000
3000_none,0.3999
