morph,VACUUM,FREE
,TI,TI,FUNC-lam-0.000,FUNC-lam-1.000,LRC-lam-0.000,LRC-lam-1.000
methane~ethane, 1.28120, 1.40180,-0.00000,-0.00000,-24.96296,-24.98287
ethane~methane,-1.33420,-1.38240,-0.00000,-0.00000,-26.12500,-26.03040
ethane~methanol, 2.77370,-3.35020,-0.00000,-0.00000,-26.06379,-26.08236
methane~toluene, 5.02590, 0.09240,999.00000, 2.00756,-24.77853,-25.00332
2-methylindole~methane, 6.45990,17.16150, 2.37093,-0.00000,-33.68416,-33.40622
toluene~methane,-4.80040, 0.01760,999.00000,-0.00000,-31.48460,-31.29095
methanol~ethane,-2.77410, 3.37980,999.00000,-0.00000,999.00000,999.00000
methane~neopentane, 2.01560,-0.25660,-0.00000, 2.87400,-24.18131,-24.39608
methane~methanol, 3.86830,-2.23440,-0.00000,-0.00000,-25.02740,-25.09303
7-cyclopentanylindole~2-cyclopentanylindole,-5.68850,-7.56320,-2.33387,-0.36205,-37.49205,-37.50217
2-cyclopentanylindole~7-cyclopentanylindole, 5.79750, 7.94150,-0.36032,-2.34459,-39.54842,-39.50250
neopentane2~methane,-1.08920,-1.08920,999.00000,-0.00000,-29.30854,-29.16662
methane~2-methylindole,-6.27630,-16.97210,-0.00000, 2.37107,-24.29230,-24.56310
methanol~methane,-3.88470, 2.29140,999.00000,-0.00000,-25.44126,-25.40400
neopentane~methane,-2.15550, 0.49560,999.00000,-0.00000,-30.71511,-30.54799
2-methylfuran~methane, 6.32630,10.76380, 1.85219,-0.00000,-30.04920,-29.87591
methane~neopentane2,-1.08920,-1.08920,999.00000, 2.87651,-29.13032,-29.26535
methane~2-methylfuran,-6.23060,-10.65290,-0.00000, 1.84654,-24.81082,-25.00325
