morph,VACUUM,FREE
,TI,TI,FUNC-lam-0.000,FUNC-lam-1.000,LRC-lam-0.000,LRC-lam-1.000
methane~ethane, 1.27970, 1.46980,-0.00000,-0.00000,-25.00869,-24.95909
ethane~methane,-1.33850,-1.42130,-0.00000,-0.00000,-26.11340,-26.02534
ethane~methanol, 2.76810,-3.38050,-0.00000,-0.00000,-26.07402,-26.12933
methane~toluene, 5.01390, 0.08300,999.00000, 2.00694,-24.78656,-24.98125
2-methylindole~methane, 6.42650,17.33000, 2.36488,-0.00000,-33.64468,-33.41363
toluene~methane,-4.78960, 0.12070, 2.00506,-0.00000,-31.45733,-31.29410
methanol~ethane,-2.75990, 3.31780,-0.00000,-0.00000,-25.38319,-25.37054
methane~neopentane, 2.01220,-0.19900,-0.00000, 2.87386,-24.20548,-24.34723
methane~methanol, 3.85630,-2.21970,-0.00000,-0.00000,-25.02405,-25.06814
7-cyclopentanylindole~2-cyclopentanylindole,-5.78710,-7.70030,-2.33847,-0.35811,-37.47596,-37.47211
2-cyclopentanylindole~7-cyclopentanylindole, 5.76020, 7.77670,-0.36604,-2.34209,-39.54302,-39.51350
neopentane2~methane,-1.08920,-1.08920, 2.87688,-0.00000,-29.28067,-29.14019
methane~2-methylindole,-6.30750,-17.08860,-0.00000, 2.37526,-24.29381,-24.58312
methanol~methane,-3.88890, 2.27990,-0.00000,-0.00000,-25.42612,-25.39815
neopentane~methane,-2.07760, 0.19450, 2.87403,-0.00000,-30.74307,-30.56267
2-methylfuran~methane, 6.32520,10.83910, 1.84869,-0.00000,-30.06727,-29.85198
methane~neopentane2,-1.08920,-1.08920,999.00000, 2.87679,-29.11070,-29.25789
methane~2-methylfuran,-6.20030,-10.88900,-0.00000, 1.84850,-24.85809,-24.98742
