# lambba_val.val 0.8125
#time (ps)      gradients (kcal/mol*lam)
0.000            0.0005088408
200.000            0.0006786865
400.000            0.0000282937
600.000            -0.0002201672
800.000            -0.0006824460
1000.000            -0.0002733014
1200.000            -0.0003992306
1400.000            -0.0004275591
1600.000            -0.0002748609
1800.000            0.0008059246
2000.000            0.0004297522
2200.000            0.0007477777
2400.000            0.0014994541
2600.000            -0.0001294381
2800.000            -0.0004743092
3000.000            -0.0005270535
3200.000            -0.0013787743
3400.000            -0.0010793374
3600.000            0.0001186330
3800.000            -0.0003348806
4000.000            -0.0001624102
4200.000            -0.0003958332
4400.000            -0.0001393790
4600.000            -0.0000744102
4800.000            0.0006849732
5000.000            -0.0008199043
5200.000            -0.0002981977
5400.000            0.0000328051
5600.000            -0.0000079228
5800.000            -0.0005582155
6000.000            -0.0010294893
6200.000            0.0001907318
6400.000            -0.0005525067
6600.000            -0.0004535902
6800.000            0.0001111697
7000.000            -0.0000233663
7200.000            -0.0000142304
7400.000            -0.0013945224
7600.000            0.0001042634
7800.000            -0.0002783733
8000.000            -0.0000783437
8200.000            -0.0007914749
8400.000            -0.0001124089
8600.000            -0.0000198627
8800.000            0.0002739141
9000.000            0.0001737723
9200.000            -0.0000021165
9400.000            0.0002031799
9600.000            -0.0012605730
9800.000            0.0010389855
10000.000            0.0001926951
10200.000            -0.0001320001
10400.000            -0.0001438634
10600.000            -0.0003872002
10800.000            0.0004836661
11000.000            -0.0004427294
11200.000            -0.0004619690
11400.000            0.0008807455
11600.000            -0.0003282736
11800.000            -0.0002590989
12000.000            0.0005709073
12200.000            0.0003148508
12400.000            0.0011599298
12600.000            -0.0000770836
12800.000            -0.0000451696
13000.000            0.0011715147
13200.000            -0.0009063727
13400.000            -0.0005095544
13600.000            -0.0000843485
13800.000            -0.0000823190
14000.000            -0.0002590397
14200.000            0.0006312612
14400.000            -0.0004291256
14600.000            0.0000198279
14800.000            0.0007584714
15000.000            0.0005946687
15200.000            -0.0004497889
15400.000            -0.0001051545
15600.000            0.0003766319
15800.000            -0.0008698221
16000.000            -0.0010198538
16200.000            0.0001639140
16400.000            -0.0008304866
16600.000            -0.0005506687
16800.000            -0.0001372355
17000.000            0.0005903801
17200.000            0.0002887293
17400.000            -0.0003986180
17600.000            -0.0005189775
17800.000            0.0002411090
18000.000            0.0005312307
18200.000            -0.0001477064
18400.000            -0.0006259961
18600.000            -0.0004541471
18800.000            -0.0000999956
19000.000            0.0003337876
19200.000            0.0001863492
19400.000            0.0003152129
19600.000            0.0003967904
19800.000            0.0006177827
20000.000            -0.0005806333
20200.000            0.0002412343
20400.000            -0.0004687395
20600.000            0.0003041363
20800.000            -0.0007629619
21000.000            0.0002200906
21200.000            0.0000499734
21400.000            0.0003829116
21600.000            0.0004518079
