
# Writing all output to stdout
# Analysing free energies contained in file(s) "['lambda-0.0000/gradients.s3', 'lambda-0.0625/gradients.s3', 'lambda-0.1250/gradients.s3', 'lambda-0.1875/gradients.s3', 'lambda-0.2500/gradients.s3', 'lambda-0.3125/gradients.s3', 'lambda-0.3750/gradients.s3', 'lambda-0.4375/gradients.s3', 'lambda-0.5000/gradients.s3', 'lambda-0.5625/gradients.s3', 'lambda-0.6250/gradients.s3', 'lambda-0.6875/gradients.s3', 'lambda-0.7500/gradients.s3', 'lambda-0.8125/gradients.s3', 'lambda-0.8750/gradients.s3', 'lambda-0.9375/gradients.s3', 'lambda-1.0000/gradients.s3']"
# Processing object TI( nLambdaValues() == 17, nIterations() == 1, nSamples() == 170000 )
# Averaging over iterations 0 to 0
# Convergence
# Iteration 
# TI 
# PMFs
# TI
# Lambda  PMF  Maximum  Minimum 
0.0  0.0  0.0  0.0
0.0  -0.3482862867796525  -0.3456186909611035  -0.35095388259820154
0.01  -0.6643319259378582  -0.6588603626883872  -0.6698034891873291
0.02  -0.9502213314290877  -0.9419098243825075  -0.958532838475668
0.03  -1.207889837826354  -1.1967750868375244  -1.2190045888151837
0.04  -1.4391505694223359  -1.4253196971054227  -1.452981441739249
0.05  -1.6457148035589246  -1.6292877452533074  -1.6621418618645418
0.060000000000000005  -1.8292070031308052  -1.8103228128298692  -1.8480911934317412
0.07  -1.9911755458471263  -1.969981977138296  -2.0123691145559564
0.08  -2.133100042901327  -2.109745842820171  -2.156454242982483
0.09  -2.25639601654991  -2.231025441926714  -2.2817665911731058
0.09999999999999999  -2.362417594109068  -2.3351667249436225  -2.3896684632745133
0.10999999999999999  -2.452458774431891  -2.4234532575133  -2.4814642913504823
0.11999999999999998  -2.5277537314322065  -2.4971076402489  -2.558399822615513
0.12999999999999998  -2.5894765370934247  -2.5572920814598388  -2.6216609927270107
0.13999999999999999  -2.6387406130770263  -2.6051084742255632  -2.6723727519284894
0.15  -2.676598154976152  -2.641598259496761  -2.7115980504555433
0.16  -2.704039715911251  -2.667742295220076  -2.740337136602426
0.17  -2.721994086018714  -2.6844608973389867  -2.759527274698441
0.18000000000000002  -2.73132856093704  -2.692614171400862  -2.770042950473218
0.19000000000000003  -2.7328496551614205  -2.6930027128955536  -2.7726965974272875
0.20000000000000004  -2.727304284644881  -2.6863687198769775  -2.768239849412785
0.21000000000000005  -2.7153814168166357  -2.673397532405256  -2.7573653012280155
0.22000000000000006  -2.6977141648253404  -2.6547195894376587  -2.740708740213022
0.23000000000000007  -2.6748822858719867  -2.6309127745529577  -2.7188517971910158
0.24000000000000007  -2.6474150305647433  -2.6025051068924068  -2.6923249542370797
0.25000000000000006  -2.615794280912665  -2.5699777225342566  -2.661610839291073
0.26000000000000006  -2.5804579084985795  -2.5337680837960215  -2.6271477332011375
0.2700000000000001  -2.54180328117123  -2.494273349304301  -2.5893332130381594
0.2800000000000001  -2.500190845925978  -2.45185383572642  -2.5485278561255362
0.2900000000000001  -2.455947717170422  -2.4068365024776046  -2.505058931863239
0.3000000000000001  -2.4093712029808083  -2.359518393174802  -2.4592240127868146
0.3100000000000001  -2.360732206946506  -2.3101699717914665  -2.411294442101546
0.3200000000000001  -2.3102784494884885  -2.2590382970810094  -2.3615186018959675
0.3300000000000001  -2.258237459855007  -2.2063499856007867  -2.310124934109227
0.34000000000000014  -2.2048192980892947  -2.152313921318893  -2.2573246748596962
0.35000000000000014  -2.150218974893053  -2.0971236780755484  -2.203314271710558
0.36000000000000015  -2.094618546252655  -2.04095962986692  -2.1482774626383905
0.37000000000000016  -2.0381888687460226  -1.9839907328060504  -2.0923870046859947
0.38000000000000017  -1.9810910104156247  -1.926375971493005  -2.0358060493382446
0.3900000000000002  -1.9234773208020213  -1.8682654712108295  -1.978689170393213
0.4000000000000002  -1.865492172021103  -1.8098012856855266  -1.9211830583566796
0.4100000000000002  -1.8072723904946686  -1.7511178779572596  -1.8634269030320776
0.4200000000000002  -1.748947405977122  -1.6923423190678655  -1.8055524928863784
0.4300000000000002  -1.6906391507489316  -1.6335942356573074  -1.7476840658405557
0.4400000000000002  -1.6324617471710612  -1.5749855430736024  -1.68993795126852
0.45000000000000023  -1.574521026133517  -1.5166200051497656  -1.6324220471172683
0.46000000000000024  -1.5169139222175851  -1.4585926653142138  -1.5752351791209565
0.47000000000000025  -1.4597277935728363  -1.4009891961192724  -1.5184663910264002
0.48000000000000026  -1.4030397155557601  -1.3438852155602186  -1.4621942155513017
0.49000000000000027  -1.3469157970610033  -1.287345618683821  -1.4064859754381855
0.5000000000000002  -1.2914105671995226  -1.2314239719467124  -1.3513971624523329
0.5100000000000002  -1.2365664775483487  -1.1761620155841257  -1.2969709395125717
0.5200000000000002  -1.1824135616432487  -1.1215893159138992  -1.2432378073725983
0.5300000000000002  -1.1289692887494396  -1.067723105066373  -1.1902154724325062
0.5400000000000003  -1.0762386432844788  -1.014568340153496  -1.1379089464154617
0.5500000000000003  -1.0242144546549525  -0.9621180074397093  -1.0863109018701957
0.5600000000000003  -0.9728779948014317  -0.9103536897490454  -1.035402299853818
0.5700000000000003  -0.9221998525071977  -0.8592464072159753  -0.9851532977984201
0.5800000000000003  -0.872141084667752  -0.8087577327151934  -0.9355244366203106
0.5900000000000003  -0.822654635348119  -0.7588411739923604  -0.8864680967038776
0.6000000000000003  -0.7736870037381274  -0.7094438048285996  -0.8379302026476552
0.6100000000000003  -0.725180132220721  -0.6605081176744232  -0.7898521467670188
0.6200000000000003  -0.6770734758632684  -0.611974060251256  -0.7421728914752808
