# lambba_val.val 0.0000
#time (ps)      gradients (kcal/mol*lam)
0.000            10.0890143357
200.000            14.0502947783
400.000            12.8973166949
600.000            6.9439039282
800.000            -0.5279495396
1000.000            -9.6087969464
1200.000            -15.5063459109
1400.000            -6.4452933986
1600.000            -9.9525915428
1800.000            -9.0466802085
2000.000            -7.1327685575
2200.000            1.9408312062
2400.000            -0.7578050182
2600.000            -3.3717735980
2800.000            5.5353327223
3000.000            7.7636099630
3200.000            8.8451827816
3400.000            5.4947395240
3600.000            1.7522660241
3800.000            0.7722176460
4000.000            -0.8954671811
4200.000            5.6488853198
4400.000            -5.0311614657
4600.000            12.5465640737
4800.000            -0.4792940859
5000.000            4.5654731931
5200.000            9.4249227086
5400.000            -2.9893819481
5600.000            -2.6990450327
5800.000            -15.0693594669
6000.000            -5.6475878239
6200.000            -16.4816093068
6400.000            4.4186989032
6600.000            2.4869109826
6800.000            -0.4872970787
7000.000            -0.8201828009
7200.000            -0.6919932259
7400.000            -0.1547480774
7600.000            1.5407700302
7800.000            -2.2281079451
8000.000            -2.9595287626
8200.000            -6.7029112188
8400.000            2.5965817783
8600.000            8.9372625170
8800.000            12.1280562806
9000.000            13.1567025446
9200.000            -1.0540753612
9400.000            2.5622479441
9600.000            5.7227572452
9800.000            -1.9058967401
10000.000            0.1475418471
10200.000            3.1945579734
10400.000            6.7541838371
10600.000            4.7840234498
10800.000            9.0353877095
11000.000            0.3563986110
11200.000            -1.8373591818
11400.000            -1.1461452528
11600.000            1.1504824310
11800.000            4.7119052863
12000.000            6.7370169022
12200.000            1.4883790316
12400.000            -11.8489940979
12600.000            10.3122412988
12800.000            3.2320428792
13000.000            -11.0270923027
13200.000            -13.3929329896
13400.000            -14.4028724163
13600.000            -1.4039221452
13800.000            -1.5327141252
14000.000            2.7460900828
14200.000            6.7288611953
14400.000            9.7257144868
14600.000            11.4043652478
14800.000            9.5510796041
15000.000            2.8795543098
15200.000            -1.6146383916
15400.000            -0.8243433067
15600.000            -0.5368377682
15800.000            1.2876319632
16000.000            -1.2038835398
16200.000            -0.9000886317
16400.000            2.7634423599
16600.000            3.9186696626
16800.000            6.7216180561
17000.000            -6.4559300396
17200.000            -6.7560089132
17400.000            -8.7258984003
17600.000            -5.7379993021
17800.000            3.5597328053
18000.000            4.1367137524
18200.000            8.9462736857
